antibody,source,reactivity,WT RBD ELISA,BA.5 RBD ELISA,XBB.1.5 RBD ELISA,JN.1 RBD ELISA,VH gene,DH gene,JH gene,H isotype,VL gene,JL gene,VH SHM (nt),VL SHM (nt),VH SHM ratio,VL SHM ratio,D614G,BA.1,BA.2,BA.5,XBB.1.5,HK.3.1,BA.2.86,JN.1,JN.1+F456L,KP.2,JN.1+F456L+A475V,KP.3,KP.3+A475V,epitope group
BD57-1870,BA.1 BTI + BA.5/BF.7 infection,specific,0.26,4.5,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHA1,IGLV2-8,IGLJ2,16.0,20.0,0.044,0.0615,inf,0.0018,0.0013,0.0005,0.0005,0.0107,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1871,BA.1 BTI + BA.5/BF.7 infection,specific,0.37,1.08,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHG1,IGLV2-8,IGLJ2,19.0,10.0,0.0522,0.0308,inf,0.0005,0.0012,0.0021,0.0013,0.0197,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1873,BA.1 BTI + BA.5/BF.7 infection,specific,0.15,1.77,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHA1,IGLV2-8,IGLJ2,11.0,5.0,0.0302,0.0154,inf,0.0028,0.0033,0.0023,0.0049,0.012,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1874,BA.1 BTI + BA.5/BF.7 infection,specific,0.3,0.84,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHA2,IGLV2-8,IGLJ2,15.0,3.0,0.0412,0.0092,inf,0.0005,0.0005,0.0028,0.0081,0.0226,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1875,BA.2 BTI + BA.5/BF.7 infection,specific,0.52,2.12,N.D.,N.D.,IGHV4-39,IGHD1-14,IGHJ4,IGHG1,IGLV2-8,IGLJ3,11.0,5.0,0.0297,0.0154,inf,0.0005,0.0009,0.0045,0.0032,0.0177,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1876,BA.1 BTI + BA.5/BF.7 infection,specific,0.54,2.11,N.D.,N.D.,IGHV5-51,IGHD3-3,IGHJ3,IGHA1,IGLV2-8,IGLJ3,36.0,24.0,0.0935,0.0738,inf,0.0014,0.0009,0.0013,0.0005,0.0051,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1877,BA.1 BTI + BA.5/BF.7 infection,specific,1.09,2.82,N.D.,N.D.,IGHV5-51,IGHD3-3,IGHJ3,IGHA1,IGLV2-8,IGLJ3,34.0,21.0,0.0883,0.0646,inf,0.0031,0.0014,0.0043,0.004,0.0104,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1878,BA.2 BTI + BA.5/BF.7 infection,cross,4.53,4.82,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ4,IGHG1,IGLV1-44,IGLJ2,25.0,18.0,0.0672,0.0544,0.0005,0.0009,0.0012,0.0005,0.0072,0.0133,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D2
BD57-1879,BA.1 BTI + BA.5/BF.7 infection,cross,4.32,3.31,N.D.,N.D.,IGHV3-23,IGHD3-16,IGHJ5,IGHG1,IGLV1-40,IGLJ1,23.0,8.0,0.0627,0.024,0.003,0.0058,0.0093,0.0074,0.0599,0.2411,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,A1
BD57-1880,BA.1 BTI + BA.5/BF.7 infection,specific,0.23,4.29,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHA1,IGLV2-8,IGLJ2,20.0,12.0,0.0549,0.0372,inf,0.0024,0.0023,0.0005,0.0005,0.001092,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1881,BA.1 BTI + BA.5/BF.7 infection,specific,0.34,2.05,N.D.,N.D.,IGHV4-38-2,IGHD6-13,IGHJ4,IGHA1,IGLV2-8,IGLJ2,21.0,18.0,0.0577,0.0557,inf,0.0013,0.0014,0.001,0.0005,0.0025,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1882,BA.1 BTI + BA.5/BF.7 infection,specific,0.84,4.03,N.D.,N.D.,IGHV7-4-1,IGHD3-9,IGHJ4,IGHA1,IGLV2-11,IGLJ3,9.0,16.0,0.0243,0.0494,inf,0.0017,0.0028,0.0005,0.0009,0.004,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1883,BA.1 BTI + BA.5/BF.7 infection,specific,0.87,2.08,N.D.,N.D.,IGHV7-4-1,IGHD3-9,IGHJ4,IGHG1,IGLV2-11,IGLJ3,11.0,8.0,0.0297,0.0247,inf,0.0006,0.001,0.0036,0.0023,0.0087,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1884,BA.1 BTI + BA.5/BF.7 infection,specific,0.38,4.2,N.D.,N.D.,IGHV4-39,IGHD3-10,IGHJ1,IGHG1,IGLV2-11,IGLJ2,20.0,16.0,0.0528,0.0492,inf,0.0016,0.0012,0.0005,0.0008,0.0038,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1886,BA.2 BTI + BA.5/BF.7 infection,specific,3.19,4.6,N.D.,N.D.,IGHV4-31,IGHD3-22,IGHJ1,IGHG1,IGLV2-11,IGLJ2,13.0,6.0,0.0349,0.0183,0.469,0.0005,0.0022,0.0005,0.0005,0.0015,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1889,BA.2 BTI + BA.5/BF.7 infection,specific,0.61,3.65,N.D.,N.D.,IGHV1-8,IGHD1-14,IGHJ3,IGHG1,IGLV2-11,IGLJ3,24.0,11.0,0.0649,0.0332,inf,0.0006,0.0036,0.0008,0.004,0.0065,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1890,BA.1 BTI + BA.5/BF.7 infection,cross,4.64,4.21,N.D.,N.D.,IGHV2-5,IGHD2-21,IGHJ4,IGHG1,IGLV2-14,IGLJ2,37.0,29.0,0.106,0.0879,0.0014,0.0006,0.0017,0.0006,0.021,0.0876,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1891,BA.2 BTI + BA.5/BF.7 infection,cross,4.31,2.88,N.D.,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGLV1-47,IGLJ1,9.0,17.0,0.0251,0.0514,0.012,0.0005,0.0005,0.0005,0.0313,0.8493,0.5061,1.439,N.D.,N.D.,N.D.,2.5543,N.D.,D3
BD57-1893,BA.2 BTI + BA.5/BF.7 infection,specific,0.37,3.42,N.D.,N.D.,IGHV4-30-4,IGHD3-10,IGHJ5,IGHG1,IGLV1-40,IGLJ2,19.0,6.0,0.0514,0.0178,inf,0.0037,0.0032,0.0005,0.0008,0.0019,0.0015,0.0083,N.D.,N.D.,N.D.,0.0451,N.D.,A2
BD57-1895,BA.1 BTI + BA.5/BF.7 infection,specific,1.41,3.57,N.D.,N.D.,IGHV5-51,IGHD5-24,IGHJ4,IGHG1,IGLV1-47,IGLJ2,17.0,14.0,0.0471,0.0419,0.436,0.0007,0.0022,0.0005,0.0005,0.0013,0.0019,0.0034,N.D.,N.D.,N.D.,0.00167,N.D.,D3
BD57-1896,BA.1 BTI + BA.5/BF.7 infection,specific,0.34,0.49,N.D.,N.D.,IGHV5-51,IGHD2-21,IGHJ3,IGHG1,IGLV1-44,IGLJ1,17.0,9.0,0.0468,0.0269,inf,0.0005,0.006,0.0074,0.0054,0.0199,0.0007,0.0009,N.D.,N.D.,N.D.,0.00136,N.D.,D3
BD57-1897,BA.1 BTI + BA.5/BF.7 infection,cross,4.55,2.75,N.D.,N.D.,IGHV3-9,IGHD3-3,IGHJ6,IGHG1,IGLV1-44,IGLJ1,18.0,6.0,0.0469,0.018,0.01,0.0366,0.0334,0.0732,0.604,1.1598,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1898,BA.1 BTI + BA.5/BF.7 infection,specific,0.71,3.18,N.D.,N.D.,IGHV1-69,IGHD3-10,IGHJ4,IGHA1,IGLV1-44,IGLJ3,19.0,9.0,0.0509,0.0272,0.891,0.0005,0.0028,0.0005,0.0005,0.0019,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1900,BA.1 BTI + BA.5/BF.7 infection,specific,0.43,3.76,N.D.,N.D.,IGHV2-70,IGHD3-22,IGHJ4,IGHG1,IGLV1-44,IGLJ3,9.0,7.0,0.0239,0.0212,inf,0.0017,0.0017,0.0005,0.0005,0.0025,0.0103,0.0098,N.D.,N.D.,N.D.,0.008506,N.D.,D3
BD57-1901,BA.1 BTI + BA.5/BF.7 infection,specific,0.094,1.42,N.D.,N.D.,IGHV4-39,IGHD3-16,IGHJ4,IGHG1,IGLV1-44,IGLJ1,11.0,5.0,0.0297,0.0151,inf,0.0059,0.0153,0.0073,0.0247,0.0223,0.2082,0.1886,N.D.,N.D.,N.D.,0.4365,N.D.,D3
BD57-1902,BA.2 BTI + BA.5/BF.7 infection,cross,4.24,2.98,N.D.,N.D.,IGHV2-5,IGHD1-20,IGHJ4,IGHG1,IGLV1-44,IGLJ3,13.0,6.0,0.0361,0.0181,0.01,0.0005,0.0005,0.0005,0.0039,1.351,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1904,BA.2 BTI + BA.5/BF.7 infection,specific,0.59,0.71,N.D.,N.D.,IGHV1-2,IGHD6-19,IGHJ5,IGHG3,IGLV1-44,IGLJ2,18.0,11.0,0.0486,0.033,inf,inf,0.0471,0.0357,0.0994,0.0513,0.7502,inf,N.D.,N.D.,N.D.,inf,N.D.,F3
BD57-1905,BA.2 BTI + BA.5/BF.7 infection,specific,0.42,1.61,N.D.,N.D.,IGHV3-21,IGHD2-15,IGHJ5,IGHG1,IGLV1-44,IGLJ3,22.0,15.0,0.0604,0.0453,inf,0.0182,0.0194,0.0128,0.195,0.2919,1.123,1.164,N.D.,N.D.,N.D.,0.0738,N.D.,B
BD57-1908,BA.1 BTI + BA.5/BF.7 infection,specific,0.15,4.31,N.D.,N.D.,IGHV4-39,IGHD3-10,IGHJ3,IGHG1,IGLV1-44,IGLJ1,20.0,3.0,0.0536,0.0091,inf,0.0005,0.0005,0.0005,0.0005,0.0008,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1912,BA.1 BTI + BA.5/BF.7 infection,specific,0.55,1.7,N.D.,N.D.,IGHV4-31,IGHD3-10,IGHJ2,IGHA1,IGLV1-47,IGLJ2,17.0,12.0,0.0459,0.0363,inf,0.0008,0.0005,0.0005,0.0057,0.002,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1916,BA.1 BTI + BA.5/BF.7 infection,cross,4.51,4.56,N.D.,N.D.,IGHV4-31,IGHD2-21,IGHJ4,IGHA1,IGLV1-40,IGLJ1,16.0,8.0,0.0447,0.0237,0.0454,0.31,0.0468,0.0563,0.212,0.7718,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1918,BA.2 BTI + BA.5/BF.7 infection,specific,0.23,4.34,N.D.,N.D.,IGHV4-30-4,IGHD3-22,IGHJ4,IGHG1,IGLV1-51,IGLJ1,11.0,10.0,0.0305,0.0297,inf,0.0122,0.002,0.0082,0.0884,inf,0.1498,inf,N.D.,N.D.,N.D.,inf,N.D.,A1
BD57-1927,BA.1 BTI + BA.5/BF.7 infection,specific,0.31,4.19,N.D.,N.D.,IGHV3-23,IGHD5-18,IGHJ4,IGHA1,IGLV1-51,IGLJ3,12.0,9.0,0.0327,0.0274,inf,0.0005,0.0005,0.0005,0.0008,inf,0.004577,0.01164,N.D.,N.D.,N.D.,0.04638,N.D.,D4
BD57-1928,BA.1 BTI + BA.5/BF.7 infection,specific,0.35,4.71,N.D.,N.D.,IGHV3-23,IGHD3-3,IGHJ6,IGHG1,IGLV1-51,IGLJ1,12.0,4.0,0.0315,0.0121,inf,0.0034,0.0047,0.0059,0.0078,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,A2
BD57-1929,BA.1 BTI + BA.5/BF.7 infection,cross,4.41,4.88,N.D.,N.D.,IGHV4-59,IGHD3-9,IGHJ5,IGHG1,IGLV1-51,IGLJ2,20.0,13.0,0.0549,0.0394,0.0006,0.0005,0.0005,0.0006,0.0009,inf,0.0574,inf,N.D.,N.D.,N.D.,inf,N.D.,A2
BD57-1936,BA.1 BTI + BA.5/BF.7 infection,specific,0.8,4.44,N.D.,N.D.,IGHV5-51,IGHD6-13,IGHJ4,IGHA1,IGLV1-51,IGLJ2,20.0,21.0,0.0559,0.0629,0.339,0.0006,0.0005,0.0006,0.0497,0.1774,0.672,0.4239,N.D.,N.D.,N.D.,0.437,N.D.,D3
BD57-1937,BA.1 BTI + BA.5/BF.7 infection,specific,0.64,1.18,N.D.,N.D.,IGHV1-69,IGHD3-16,IGHJ4,IGHG1,IGLV1-36,IGLJ3,22.0,4.0,0.0609,0.0121,1.93,0.0016,0.0005,0.0272,0.0078,0.0193,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1939,BA.1 BTI + BA.5/BF.7 infection,specific,0.37,2.13,N.D.,N.D.,IGHV3-21,IGHD4-17,IGHJ5,IGHG1,IGLV1-40,IGLJ2,18.0,9.0,0.049,0.0267,inf,0.0007,0.0005,0.0008,0.0036,0.0394,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,A1
BD57-1943,BA.2 BTI + BA.5/BF.7 infection,cross,4.49,4.37,N.D.,N.D.,IGHV1-69,IGHD5-24,IGHJ3,IGHG1,IGLV1-40,IGLJ2,37.0,16.0,0.104,0.0479,0.0703,0.114,0.0378,0.62,1.348,1.7284,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1945,BA.2 BTI + BA.5/BF.7 infection,cross,4.42,4.47,N.D.,N.D.,IGHV1-69,IGHD3-10,IGHJ4,IGHA1,IGLV1-40,IGLJ2,36.0,9.0,0.097,0.0269,0.36,0.177,0.0718,0.66,1.03,1.4569,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1946,BA.1 BTI + BA.5/BF.7 infection,cross,4.55,4.47,N.D.,N.D.,IGHV1-46,IGHD2/OR15-2a,IGHJ4,IGHG1,IGLV1-40,IGLJ1,25.0,13.0,0.0681,0.0382,0.0016,0.0019,0.0047,0.0023,0.904,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1947,BA.2 BTI + BA.5/BF.7 infection,specific,0.63,4.42,N.D.,N.D.,IGHV1-46,IGHD5-24,IGHJ4,IGHG1,IGLV1-40,IGLJ1,13.0,7.0,0.0335,0.021,inf,0.0089,0.0007,0.0008,0.0516,0.119,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1949,BA.2 BTI + BA.5/BF.7 infection,specific,0.8,1.97,N.D.,N.D.,IGHV3-66,IGHD4/OR15-4a,IGHJ6,IGHG1,IGLV1-40,IGLJ3,14.0,5.0,0.0392,0.015,inf,inf,0.0049,0.01,0.0145,inf,0.1519,inf,inf,N.D.,inf,inf,N.D.,F3
BD57-1950,BA.1 BTI + BA.5/BF.7 infection,cross,3.88,4.0,N.D.,N.D.,IGHV4-59,IGHD3-3,IGHJ5,IGHG1,IGLV1-40,IGLJ2,12.0,6.0,0.0332,0.0178,0.003,0.0031,0.005,0.0022,0.0132,0.3243,0.0507,0.0448,N.D.,N.D.,N.D.,0.0503,N.D.,A1
BD57-1955,BA.2 BTI + BA.5/BF.7 infection,cross,5.96,3.32,N.D.,N.D.,IGHV1-69,IGHD3-10,IGHJ4,IGHG1,IGLV1-40,IGLJ2,14.0,9.0,0.0375,0.0269,0.205,0.12,0.0437,0.322,0.453,0.9865,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1959,BA.1 BTI + BA.5/BF.7 infection,specific,0.27,4.47,N.D.,N.D.,IGHV2-70,IGHD3-22,IGHJ4,IGHG1,IGLV3-25,IGLJ2,8.0,14.0,0.0208,0.0427,inf,0.0124,0.02,0.0009,0.0335,0.056,0.06456,0.08742,N.D.,N.D.,N.D.,0.08769,N.D.,D3
BD57-1961,BA.1 BTI + BA.5/BF.7 infection,specific,0.24,4.64,N.D.,N.D.,IGHV2-70,IGHD5-18,IGHJ6,IGHG1,IGLV3-25,IGLJ2,14.0,14.0,0.0383,0.0427,inf,0.0013,0.0035,0.0034,0.0153,inf,0.003141,0.01848,N.D.,N.D.,N.D.,0.01817,N.D.,D3
BD57-1962,BA.2 BTI + BA.5/BF.7 infection,specific,0.31,4.44,N.D.,N.D.,IGHV3-7,IGHD2-2,IGHJ4,IGHG1,IGLV3-25,IGLJ3,19.0,14.0,0.0518,0.0439,inf,0.0005,0.0005,0.0005,0.0012,0.002,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1963,BA.1 BTI + BA.5/BF.7 infection,specific,0.42,4.75,N.D.,N.D.,IGHV2-70,IGHD2-21,IGHJ6,IGHG1,IGLV3-25,IGLJ2,13.0,20.0,0.0352,0.061,inf,0.0008,0.0079,0.0061,0.0072,0.019,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1965,BA.1 BTI + BA.5/BF.7 infection,specific,0.29,4.58,N.D.,N.D.,IGHV2-70,IGHD6-13,IGHJ4,IGHG1,IGLV3-25,IGLJ2,18.0,20.0,0.049,0.061,inf,0.0009,0.0005,0.0008,0.0194,inf,2.914,2.015,N.D.,N.D.,N.D.,1.863,N.D.,D3
BD57-1966,BA.1 BTI + BA.5/BF.7 infection,specific,0.21,2.1,N.D.,N.D.,IGHV2-70,IGHD4-17,IGHJ6,IGHG1,IGLV3-25,IGLJ3,10.0,18.0,0.0271,0.0549,inf,0.0036,0.0031,0.0017,0.391,0.4955,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1967,BA.1 BTI + BA.5/BF.7 infection,specific,0.3,4.52,N.D.,N.D.,IGHV2-70,IGHD4-17,IGHJ6,IGHG1,IGLV3-25,IGLJ3,16.0,25.0,0.0437,0.0769,inf,0.0008,0.0008,0.0006,0.0014,0.0037,0.0142,0.0092,N.D.,N.D.,N.D.,0.0309,N.D.,D3
BD57-1968,BA.1 BTI + BA.5/BF.7 infection,specific,0.29,4.57,N.D.,N.D.,IGHV3-43,IGHD3-22,IGHJ4,IGHG1,IGLV3-25,IGLJ2,19.0,25.0,0.0518,0.0767,inf,0.0005,0.0006,0.001,0.0335,0.9038,0.2468,0.3502,N.D.,N.D.,N.D.,0.2461,N.D.,D3
BD57-1969,BA.2 BTI + BA.5/BF.7 infection,cross,5.28,4.35,N.D.,N.D.,IGHV3-9,IGHD4-17,IGHJ6,IGHA1,IGLV3-21,IGLJ2,26.0,16.0,0.0716,0.0492,0.01,0.017,0.0046,0.0133,inf,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-1970,BA.2 BTI + BA.5/BF.7 infection,specific,0.39,4.9,N.D.,N.D.,IGHV2-70,IGHD1-26,IGHJ6,IGHG3,IGLV3-25,IGLJ2,9.0,8.0,0.0246,0.0251,inf,0.0013,0.0005,0.0005,0.0017,0.0034,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1971,BA.2 BTI + BA.5/BF.7 infection,specific,0.38,0.46,N.D.,N.D.,IGHV1-8,IGHD3-9,IGHJ3,IGHG1,IGLV3-1,IGLJ3,28.0,14.0,0.0722,0.0439,inf,0.0005,0.0005,0.0501,0.0241,0.07814,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,B
BD57-1972,BA.2 BTI + BA.5/BF.7 infection,specific,0.34,3.58,N.D.,N.D.,IGHV2-70,IGHD3-16,IGHJ6,IGHG1,IGLV3-25,IGLJ3,16.0,14.0,0.0437,0.0427,inf,0.0054,0.0008,0.0018,0.1092,0.1259,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1973,BA.1 BTI + BA.5/BF.7 infection,specific,0.25,1.87,N.D.,N.D.,IGHV2-70,IGHD2-21,IGHJ6,IGHG1,IGLV3-25,IGLJ3,10.0,12.0,0.0273,0.0369,inf,0.0182,0.0269,0.0189,0.0569,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1974,BA.1 BTI + BA.5/BF.7 infection,specific,0.19,4.85,N.D.,N.D.,IGHV2-70,IGHD1-26,IGHJ4,IGHG1,IGLV3-25,IGLJ2,6.0,7.0,0.0163,0.0215,inf,0.0005,0.0005,0.0005,0.0378,0.0559,1.069,0.673,N.D.,N.D.,N.D.,0.9552,N.D.,D3
BD57-1975,BA.1 BTI + BA.5/BF.7 infection,specific,0.3,1.68,N.D.,N.D.,IGHV3-23,IGHD4-17,IGHJ4,IGHG1,IGLV3-9,IGLJ1,9.0,8.0,0.0249,0.0253,inf,0.0013,0.0007,0.006,0.0171,0.0181,0.7889,1.2274,N.D.,N.D.,N.D.,inf,N.D.,D4
BD57-1976,BA.1 BTI + BA.5/BF.7 infection,cross,4.84,3.77,N.D.,N.D.,IGHV3-66,IGHD2-8,IGHJ6,IGHA2,IGLV3-9,IGLJ2,16.0,12.0,0.0452,0.0376,0.0037,0.0059,0.0039,0.0031,0.0045,0.02525,0.0275,0.0416,inf,inf,inf,inf,inf,A1
BD57-1979,BA.1 BTI + BA.5/BF.7 infection,specific,0.21,4.36,N.D.,N.D.,IGHV2-70,IGHD3-22,IGHJ4,IGHG1,IGLV3-25,IGLJ2,7.0,10.0,0.0189,0.031,inf,0.0006,0.0005,0.0005,0.0294,0.0284,0.3678,0.2511,N.D.,N.D.,N.D.,0.1562,N.D.,D3
BD57-1981,BA.2 BTI + BA.5/BF.7 infection,specific,0.37,4.56,N.D.,N.D.,IGHV2-70,IGHD6-13,IGHJ6,IGHA1,IGLV3-25,IGLJ2,14.0,15.0,0.0383,0.0462,inf,0.0024,0.0005,0.0007,0.0147,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1982,BA.1 BTI + BA.5/BF.7 infection,specific,0.21,4.56,N.D.,N.D.,IGHV3-7,IGHD6-13,IGHJ4,IGHG1,IGLV3-25,IGLJ3,17.0,12.0,0.0463,0.0366,inf,0.0005,0.0005,0.0006,0.0067,0.006,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1983,BA.1 BTI + BA.5/BF.7 infection,specific,0.14,4.24,N.D.,N.D.,IGHV3-48,IGHD3-22,IGHJ6,IGHG1,IGLV3-25,IGLJ3,16.0,6.0,0.043,0.0183,inf,0.0005,0.0005,0.0005,0.0394,inf,0.8979,0.8137,N.D.,N.D.,N.D.,0.9666,N.D.,D3
BD57-1984,BA.1 BTI + BA.5/BF.7 infection,specific,0.2,4.69,N.D.,N.D.,IGHV2-70,IGHD1-26,IGHJ6,IGHG3,IGLV3-25,IGLJ3,16.0,14.0,0.0437,0.0427,inf,0.0012,0.001,0.0009,0.0017,0.0083,1.6068,1.2141,N.D.,N.D.,N.D.,1.2548,N.D.,D3
BD57-1985,BA.1 BTI + BA.5/BF.7 infection,specific,0.86,1.32,N.D.,N.D.,IGHV2-70,N.D.,IGHJ6,IGHG1,IGLV3-25,IGLJ2,10.0,17.0,0.0273,0.0523,inf,0.0123,0.0078,0.007,0.0343,0.0575,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1986,BA.1 BTI + BA.5/BF.7 infection,specific,0.69,3.55,N.D.,N.D.,IGHV2-70,IGHD3-16,IGHJ6,IGHG1,IGLV3-25,IGLJ2,11.0,8.0,0.0301,0.0246,inf,0.0013,0.0021,0.002,0.0077,0.0093,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1987,BA.2 BTI + BA.5/BF.7 infection,specific,0.34,5.3,N.D.,N.D.,IGHV2-70,IGHD4-17,IGHJ6,IGHG1,IGLV3-25,IGLJ2,8.0,6.0,0.0219,0.0185,inf,0.0018,0.0006,0.0005,0.0039,0.0031,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1989,BA.1 BTI + BA.5/BF.7 infection,specific,0.15,3.81,N.D.,N.D.,IGHV2-70,IGHD3-10,IGHJ6,IGHG1,IGLV3-25,IGLJ2,12.0,12.0,0.0325,0.0366,inf,0.0005,0.0005,0.0005,0.0065,0.0106,0.3035,0.2777,N.D.,N.D.,N.D.,0.2777,N.D.,D3
BD57-1990,BA.1 BTI + BA.5/BF.7 infection,specific,0.15,4.06,N.D.,N.D.,IGHV2-70,IGHD6-13,IGHJ4,IGHG1,IGLV3-25,IGLJ3,19.0,14.0,0.0518,0.0431,inf,0.0005,0.0005,0.0005,0.0252,0.0541,0.0284,0.0175,N.D.,N.D.,N.D.,0.0407,N.D.,D3
BD57-1991,BA.1 BTI + BA.5/BF.7 infection,specific,0.32,4.43,N.D.,N.D.,IGHV2-70,IGHD3-22,IGHJ4,IGHA1,IGLV3-25,IGLJ2,12.0,12.0,0.0322,0.037,inf,0.0021,0.0017,0.0025,0.0078,0.0133,2.5895,2.8517,N.D.,N.D.,N.D.,2.66,N.D.,D3
BD57-1992,BA.1 BTI + BA.5/BF.7 infection,specific,0.16,1.22,N.D.,N.D.,IGHV2-70,IGHD5-12,IGHJ4,IGHG1,IGLV3-25,IGLJ2,9.0,10.0,0.0239,0.0305,inf,0.0008,0.0007,0.0013,0.0443,0.0636,0.06449,0.1836,N.D.,N.D.,N.D.,0.1467,N.D.,D3
BD57-1993,BA.1 BTI + BA.5/BF.7 infection,specific,0.26,2.6,N.D.,N.D.,IGHV2-70,IGHD5-12,IGHJ3,IGHG3,IGLV3-25,IGLJ3,8.0,5.0,0.0218,0.0153,inf,0.0005,0.0005,0.0005,0.0301,0.0417,0.0444,0.0453,N.D.,N.D.,N.D.,0.0335,N.D.,D3
BD57-1994,BA.1 BTI + BA.5/BF.7 infection,specific,0.61,4.33,N.D.,N.D.,IGHV2-70,IGHD1-26,IGHJ4,IGHG1,IGLV3-25,IGLJ2,11.0,7.0,0.03,0.0215,inf,0.0005,0.0005,0.0005,0.033,0.0389,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD57-1997,BA.1 BTI + BA.5/BF.7 infection,specific,0.43,4.9,N.D.,N.D.,IGHV2-70,IGHD2/OR15-2a,IGHJ6,IGHG1,IGLV3-25,IGLJ2,9.0,14.0,0.0248,0.0431,inf,0.0019,0.0005,0.0005,0.0046,0.0036,0.1565,0.1033,N.D.,N.D.,N.D.,0.0538,N.D.,D3
BD57-1998,BA.1 BTI + BA.5/BF.7 infection,specific,0.24,3.51,N.D.,N.D.,IGHV2-70,IGHD6-6,IGHJ4,IGHG1,IGLV3-25,IGLJ2,2.0,2.0,0.0054,0.0062,inf,0.0005,0.0005,0.0005,0.0369,0.3973,0.3252,0.1877,N.D.,N.D.,N.D.,0.4902,N.D.,D3
BD57-2000,BA.1 BTI + BA.5/BF.7 infection,specific,0.33,4.36,N.D.,N.D.,IGHV2-70,IGHD2/OR15-2a,IGHJ6,IGHG1,IGLV3-25,IGLJ2,15.0,14.0,0.041,0.0427,inf,0.0005,0.0007,0.0005,0.001,0.0012,0.0195,0.0144,N.D.,N.D.,N.D.,0.031,N.D.,D3
BD57-2001,BA.1 BTI + BA.5/BF.7 infection,specific,0.15,1.09,N.D.,N.D.,IGHV2-70,IGHD1-14,IGHJ6,IGHG3,IGLV3-25,IGLJ2,5.0,10.0,0.0137,0.0308,inf,0.0204,0.0045,0.0023,0.0238,0.0178,0.03812,0.1078,N.D.,N.D.,N.D.,0.05402,N.D.,D3
